epoch,batch_idx,loss,accuracy,vertex_count,node_count,batch_size,protein_names
0,10,0.7204203605651855,0.5,28686,13950.0,64,2W80_D;3BCW_B;1UMF_D;4PQT_A;3SQD_A;4WEU_B;2FE8_A;3MOQ_C;3AJY_C;3LW7_A;2EQ5_A;3DOE_B;3TA1_F;2FG8_C;3TLF_F;1XF9_A;3LGS_D;3CI0_K;3IA3_D;2PTT_A;2HE2_A;2QYI_D;4F9L_A;4YIZ_A;2X5Q_A;2NUU_L;5JKE_A;1EAI_A;2VVX_A;3RV2_B;4APF_A;3OR1_E;1Z0K_A;3BTV_B;1S4C_B;2IJ0_B;2OZK_B;1RPN_D;1TM4_E;3PWS_A;3Q58_A;3ABS_D;2CLB_A;3FF8_B;2Z7E_A;2C37_S;3THA_A;1UR6_A;1ZJD_A;2HWW_B;1T44_G;1M9F_C;3CYJ_B;3KZ1_A;3NRJ_A;3N06_B;1A2W_B;2I14_D;3KVZ_A;1HN2_A;2OL5_A;3EYB_A;2A72_B;2IVF_B
0,11,0.7195847034454346,0.5,29492,14268.0,64,1TX4_A;4DX8_J;2Z6J_A;2GDG_C;1BKD_R;3IJ6_C;3DHW_D;3OZM_C;1FJ1_E;4G6V_A;3FLD_B;3SOB_B;2VE6_A;2V4I_G;3CDK_C;2P49_B;2JK3_B;1IXQ_B;3MQW_C;2BTU_A;3I38_B;2ZCN_B;1JNP_A;2EP5_D;3DZA_D;1OYP_A;4C2A_A;2E2D_C;4KA2_A;1FS0_G;1H0H_L;4YDK_G;3QBX_B;1TQ9_B;3KU4_D;2D10_A;2AO9_A;2IHS_A;1ZDN_A;3C5Y_I;3CKI_A;2I3T_A;1VE5_C;1G5H_A;3LFR_A;2VSM_B;2E7S_G;3CKD_C;1IY9_B;1AVZ_B;1FOD_2;1SWJ_B;1JNB_F;3N29_B;5HPY_A;4IOS_D;4U0Q_A;2PMS_A;3K1I_B;2Z2R_B;2IU9_B;2DUM_B;4XNQ_D;3R4K_B
0,12,0.720248818397522,0.5,31323,15828.0,64,3BNW_B;3QDZ_B;3EUH_E;3LMS_A;4DID_A;1Y5Y_B;1R5I_D;5AAW_A;3KU4_C;2XT2_B;3QSK_A;2VIS_C;3HRD_F;1OSG_F;3HT2_C;3OJJ_C;1TB3_C;2BTU_B;2Z3F_G;2B81_A;3DUG_C;3I5V_D;2Q17_B;2BMC_C;4J6G_C;5LRW_A;1P6A_B;2ZZX_D;2E6F_B;3QLU_A;3ISM_A;5I9Q_A;3V3K_B;3SJ9_A;1BIH_B;1PYT_C;5LWY_HL;1K88_A;3R1X_A;3KDQ_A;2R0I_B;2C1L_B;3BA3_B;2NNW_B;3EBA_B;3REP_A;3OWT_A;1K93_D;1R2F_B;2EG5_G;1J2U_A;1L8L_B;3BTV_A;3D6R_B;3ZNZ_A;1MKM_B;2Y0F_B;3F8U_B;1WEK_C;3TSW_D;2QV0_B;2WFL_B;2J9F_C;3GBN_H
0,13,0.720187246799469,0.5,27666,13225.0,64,3MQH_A;1VZY_A;1QYN_A;4EKD_B;4DBG_B;3G9K_S;4AYE_A;3U9D_A;3SSN_D;4Y5V_DE;4QVF_A;3MZO_B;2F4L_C;2DG0_H;1AVO_L;5UG0_A;3KH8_B;2NN3_C;1VSQ_A;2RJZ_A;1Z2X_A;1NP6_B;3V96_B;2XED_A;3NGB_G;1AKJ_DE;4WND_A;2A78_A;3PKZ_F;1ERN_A;2Y32_A;4AOR_A;3EO8_C;1FYH_B;1EMU_A;3GZ2_A;3RKD_B;2C0L_A;2HLZ_B;2R00_B;3C1D_B;3AFK_B;3CF4_G;2AEP_HL;1V5X_A;2P62_A;3EIQ_C;3RBN_A;3Q0Y_F;3O61_B;2Z0E_B;2HU2_A;1YAU_Q;1CFF_A;2D4C_B;3NBT_F;1Z0K_C;1NDG_C;1VCB_F;2OQ2_B;2NP5_D;1MTO_C;3LTE_C;1NF3_C
0,14,0.722275972366333,0.5,30899,14907.0,64,3L33_A;2GOX_A;4PER_B;3HIE_D;2VQA_B;4YL8_A;3BGE_B;1JN9_C;1SMO_A;3L9J_C;1G31_C;3ES8_H;2CKF_F;3DZC_B;2J7Q_C;1VL6_D;3U8Z_B;3HWS_D;3BB9_C;2VCG_D;4B1V_B;2Y3M_A;3EH0_B;3OX6_D;4LVH_G;5LQB_A;1Y07_A;1LDP_H;3LLK_B;3DAK_D;2PMV_A;2Q8B_A;3LJQ_C;4KGG_C;3KZH_B;3QKW_B;5H35_E;2YB8_B;2H0D_B;1K2E_B;3IWM_B;3H6S_A;1IZ1_A;3AON_A;5F4E_A;2WSU_B;3G0F_B;3U82_A;2IEP_B;2FNP_A;4LAD_A;3HKL_B;1EWJ_D;3ZYI_A;1WLI_B;1XF9_D;4TQ0_A;2R78_D;4YPI_C;1XTT_D;3K8P_C;2DUM_C;3VGK_H;1HN2_B
0,15,0.7239275574684143,0.5,28734,13689.0,64,1WSC_B;3BLH_A;3C8J_A;3QC8_A;2H6B_B;3C5O_D;1BVP_3;3AQJ_R;3AAA_C;3EIQ_D;3BK3_A;1P7G_K;1QD6_D;1UL1_X;2W01_A;3C3J_F;1T33_A;3HWS_F;1OT8_C;1XM3_B;3TEO_I;1XXI_B;2XRN_A;3K6Q_C;2WMM_B;2R19_B;2PRO_B;4S1R_G;3DR4_B;1SCE_C;1EGH_F;3KPH_A;1SCE_D;3GJZ_A;2I5B_B;2DI3_A;2OS7_C;1QB3_C;1IXQ_D;3PYI_B;3RRL_C;1WO8_B;3F7G_B;1YDG_F;1DQN_B;1WKH_B;2WG4_A;1VMD_B;3TWO_A;2E1M_A;3ALZ_B;3K80_C;1Q8M_B;3N6V_C;3QPB_F;2HXI_B;5KVD_E;2VAX_L;3K25_B;4ZQK_B;4W6Y_B;1R15_F;3S5R_B;1Y60_E
0,16,0.7221611142158508,0.5,28634,14155.0,64,3MAX_A;3GWY_B;2P5X_B;2BSE_C;1WB4_B;1Q74_A;3CQG_B;1K6D_B;3DI4_A;1XTT_C;3BAL_A;1AHW_C;3HPN_F;3EMK_A;1TU1_A;1EM1_B;2P4A_A;2OBN_C;1WB4_A;1GK9_A;3KML_G;6AYZ_M;1KLU_D;1B65_B;3G16_B;1JKG_B;3MEN_B;3GVI_D;2X57_C;4XL5_A;3P37_A;3CI6_A;3T89_E;3UDB_A;1TAW_A;4C2A_B;1VH5_A;3PL0_B;1MCO_L;1YF9_B;2ISQ_A;2QKM_E;1X1Y_A;2BGC_F;3H4S_A;1IUG_A;3AEH_B;2XGF_C;6ALD_C;1TIJ_A;1O9I_F;1OSP_O;3A3O_A;2PO2_A;2ZIH_B;4EKC_A;4W6W_A;2OTP_A;4V0O_E;1Q5X_A;2ARK_C;2ANE_D;2G2U_B;2Q0O_A
0,17,0.7233433127403259,0.5,29329,13999.0,64,2Z3F_E;3TQC_B;2VXT_I;3ZRK_A;2ZZX_A;3SSN_B;3S5B_A;2CLY_E;3K90_C;1L0Y_A;1DML_A;2HEY_G;3LSJ_A;4AQE_B;3M0Z_C;3E6M_C;1LDT_T;3CWC_A;1ML1_E;1Q1L_B;1VGL_D;4CVW_C;1FZ0_E;3GLC_F;3RMR_C;1WSC_A;3DCL_B;3HN6_B;2I33_B;3NRJ_H;3KTC_A;2XJZ_B;3PRB_B;1VSG_A;2V3B_A;3O34_A;3VPJ_E;2FEN_L;3G9A_A;2E0N_B;1QJG_F;3BN3_A;1T70_C;2XED_D;3AAD_A;3F65_H;2VUO_B;2A40_E;1SIE_F;1J0E_B;3S1M_H;3LVY_D;3DXE_A;3Q9D_B;2XJZ_C;2FE8_C;2OMU_B;5C8J_I;5D5M_A;2DWN_C;2W81_D;5JSB_B;1OYV_I;1ZC4_B
0,18,0.7230471968650818,0.5,30797,14665.0,64,1EES_A;1TLJ_B;2JZI_A;3OBK_F;2NNN_A;2NUX_A;5EG3_A;2VMB_A;2HCR_B;1RDF_B;2EF7_B;2FJC_H;1EZI_A;3BHQ_B;1IAH_B;1TM5_E;3L5X_A;4W6Y_A;3L82_A;3LQ6_B;3NE2_B;3FBZ_C;2ZRT_D;1VRB_B;3BJD_A;4UEM_A;1J7V_L;2RDC_B;1EEX_G;3MF1_A;2DJF_A;3F7P_C;2GAF_A;4DAG_A;1TMX_B;5WB9_G;2ZCK_P;2C2I_A;2AQX_B;1OSM_B;4S1S_G;3GU3_B;1ESM_C;3G1Z_A;2ZVY_B;3V4Y_A;4HFU_A;3UYO_A;5MHR_C;4QXA_B;3G3Z_A;1O0W_B;2QJV_B;3OC3_D;3FLP_M;3K1I_C;1A79_B;2EJG_B;1YKJ_B;2X3B_A;2WPX_A;3VG8_F;2EFH_A;1DBQ_B
0,19,0.7230764627456665,0.5,31363,15255.0,64,3CW2_B;3G5W_D;2AUN_B;1SC6_A;1MHP_B;1L8D_B;2C6X_D;3DFZ_B;3PL0_A;3CMB_A;3F5N_D;3NBT_A;3LG2_A;3V4P_B;1PVH_A;3DOE_A;3KH1_B;3SSM_B;2H1T_A;3QBQ_B;3NQO_A;3GZ8_B;1TA3_A;3C59_A;1CQI_A;3C48_A;2F2O_A;2AXT_D;1VL6_C;3LSJ_B;3EMJ_K;3OJI_B;4ZRK_A;5F9O_G;1CL7_L;3FJU_A;3SOB_H;2G45_A;4LLO_A;1YV1_A;3QBT_E;4OL0_A;2I6T_B;3H4E_H;2NOX_C;4LYL_A;3FYF_B;3NAP_C;3O10_C;4EUK_A;3QPB_K;1O7L_D;1OG6_B;2HLZ_D;1U8T_B;3KL9_I;2HWJ_C;3OYF_A;3HJP_D;3FLP_N;3BAR_B;1KXV_C;2OD6_A;1ZXM_A
0,20,0.7211118340492249,0.5,29115,13716.0,64,3DZC_A;2A5T_B;2DDK_B;4AWX_A;3DVU_A;3P16_C;1TQB_A;2BQZ_A;3B76_B;4MYW_A;1KCF_A;3AQJ_P;3HEF_A;2AST_B;2DDM_A;4DZV_A;1NP3_C;1MSB_A;1NW2_H;3TOZ_G;2JC2_C;3FVM_B;1VMK_A;6AZZ_A;3OJ2_C;1NB5_AP;4P3Y_A;1JMA_B;2IAB_A;3U60_C;2I25_N;2INU_B;2Y3M_B;1EZ1_A;2AVU_E;3REB_A;3IA0_I;2OUK_B;3MEX_A;3RGF_A;1KBQ_C;3HPN_E;3DKU_B;2DT5_B;2NYI_A;3S97_C;2E2K_D;1LX5_A;1VL7_A;3QMW_C;1WKQ_A;3QWN_I;3DH7_C;3P8C_F;4K81_A;2OTX_B;1WN1_A;2P48_A;1NBY_C;1OS2_E;3QOE_B;1NPP_C;1USY_B;2ZB9_B
0,21,0.7236992120742798,0.5,28768,14115.0,64,2G9W_B;3CX5_E;3I50_E;3B01_A;3DAH_B;3EW3_B;3RMU_C;2A61_D;1RK4_A;1UI5_B;2E5F_B;4J2L_A;1LHR_A;2FLF_F;2IZZ_B;5XMH_B;2F2F_B;3KBT_A;1ML0_AB;1X9J_H;2ZCL_P;3OJI_A;2QM7_B;1ZBX_A;3MLG_A;3S9D_B;6AOD_C;3K4W_F;4KVG_B;2Q1E_B;2A1F_D;1C8U_A;3CKY_D;1OYV_B;2FUR_A;3L18_A;3PV6_B;4JW3_A;1IQ6_B;1M34_E;5CTR_C;1ONW_B;1U7H_A;2G5C_D;4BKX_A;1PZM_B;3MCZ_A;4FZA_A;3G13_A;3CX8_B;2UZI_HL;3PCS_A;3EBN_D;2G3O_C;1Y60_D;2OOJ_A;1Z6O_M;4M76_B;1Y0B_C;3P01_C;2EFC_C;4EIG_A;1SVZ_B;3KTS_A
0,22,0.7218737006187439,0.5,29404,13976.0,64,2D1P_D;2QKO_A;3TNF_A;2PGC_D;3F8F_B;2C2I_B;3NCB_B;5UMN_B;2RAS_A;4TSC_A;1Y3B_E;1B4K_B;1FK8_A;2F2T_B;5TAR_B;3EMF_B;3KZ0_A;3CHI_A;1JZT_B;2FLH_D;1UWG_X;3UG6_A;2F9Z_C;1WKV_B;4EUK_B;2A56_D;3DKB_F;1V5W_A;1UMF_B;3OJM_B;3STB_C;5D1X_CD;3B5U_N;2V5Q_D;1OW4_B;3LA2_B;3UZP_B;3QUM_Q;1G0U_1;4ETP_B;2CWO_B;5CTR_A;1Y1O_A;2J41_C;3IQ2_A;3NJH_D;3ODX_B;1ZVY_B;2NUX_B;2E7S_H;3D4R_B;2HDN_L;2BE1_B;1QSO_A;4BRW_A;3O40_A;1OOQ_B;3N4I_B;4M0W_A;3E5B_A;2A2L_B;2GMY_C;3SVR_C;1T8Q_B
0,23,0.7246963977813721,0.5,27990,13451.0,64,1YJ7_C;5XBM_C;1KSH_B;1A0H_D;2FZV_D;1Z5Y_E;3W8I_A;6BP2_A;2BZN_G;1DM5_E;3K4W_D;2QQD_G;3GJB_B;1Q05_B;2HRK_A;4HFF_A;2F2E_A;3M4W_A;1X0G_B;3EE7_A;1NKQ_E;2HWJ_A;1XSQ_B;1L5X_A;3SIP_E;2XCM_B;3F8X_C;3HL9_C;2VE7_A;1G6Q_6;3FYF_A;3BH3_B;2VT3_B;1TJO_C;3BYW_E;2H0Q_A;3EH4_B;2QGX_C;2Q81_A;5ESV_E;3H05_B;3KS7_C;1OLP_C;3GAG_C;3DNM_A;3G16_A;1QXN_A;1IRA_Y;2EAY_B;3RH7_E;1Z94_C;1P7G_J;2B11_A;3AJ1_D;2DDZ_A;4FQ0_B;3S5R_A;3BJ6_B;1DK4_A;3UJG_B;3T2N_B;2EJN_B;4DVG_A;1F5M_A
0,24,0.7226583957672119,0.5,28662,14083.0,64,4LZX_A;2R19_A;1VHZ_A;2XWT_A;3SGB_E;2JAM_A;3ABL_D;3HV0_B;4YDL_G;1O28_A;1K7L_C;3AE8_B;3P87_A;2F3T_E;3H35_C;3NOY_A;2Z8I_D;5T5B_E;3CE9_D;2R8E_A;2CCL_C;3D4I_B;2XV6_B;1CS0_B;2H9B_B;1ERN_B;4I0C_A;3K53_B;4MYW_B;2EB0_B;3R1X_B;4MWF_C;3ZEU_D;3HDO_A;1JFQ_L;1X7O_A;3PGF_A;1F8Y_A;2B3S_A;1U4F_C;3DO4_F;2JJT_C;3ZYI_B;2ZG6_A;3TPU_B;4Y5Y_F;1M1T_B;3IC5_B;3HIM_B;1K4C_C;2QNF_A;1J31_C;1O7L_C;1SYX_A;3FMT_B;2CZV_D;4UT9_JN;3IQE_F;2Q0J_A;3GRZ_A;3LWF_D;2NV2_V;2J4E_G;1KNY_A
0,25,0.7223013639450073,0.5,31399,15320.0,64,2PSM_A;1RQD_A;2AE8_D;2B12_A;1DZB_X;2QUR_A;2XCE_E;1LX7_A;1J7D_A;1G09_B;3OUO_B;3CQ9_D;3BM2_A;2GWW_A;3QT6_B;2VLN_B;6PFK_C;2ZOQ_A;3DVM_A;1NU9_C;2Y8T_D;3EMJ_L;3K39_B;4GH7_A;2BGW_A;2Q5E_E;3EUC_A;3HWS_E;4YFL_E;3RLB_A;2CVO_B;3PJN_A;1LEH_B;2PZD_B;3GNJ_D;1T11_A;1U5I_B;4XAK_A;1R52_C;3HCU_A;1Z7U_B;4HC1_B;3O9L_B;2F5G_A;3TW8_C;3H4M_C;4LQW_A;2OU5_B;1CP2_B;3DP7_B;2QJG_H;1RHG_C;2Q05_B;3LAQ_U;3GNI_B;3NTQ_A;2XRN_B;3QTA_B;3FN1_B;2E6F_A;2HBV_B;1TB3_B;3M84_B;2XWX_A
0,26,0.7214916348457336,0.5,28686,13608.0,64,3HXJ_A;2ETE_B;3CBM_A;2KWO_A;1YC6_E;3NVI_A;2ZCH_P;2RDM_B;1HYR_A;1KXP_A;1XD3_C;3GOX_A;4RWY_A;2KXH_A;3KJ1_A;5XKU_A;1OS2_F;3BNV_E;1HE1_D;1IS8_G;1Z5Y_D;3Q6D_C;3HO7_B;1NPP_B;3LA7_B;3S35_H;5DOB_A;1XG2_A;2IUO_J;1HE8_B;1GU9_H;3PUZ_B;4YDI_G;2PIF_B;1MC3_B;3RV0_A;2X17_L;3MOQ_A;3PVR_C;2AZE_B;1JWH_A;3RGV_A;1W9Z_C;4KFZ_A;1MAS_A;1AK4_D;3KMT_A;1OTW_B;3SF8_A;2I9B_C;1HXM_C;2R6A_C;3U0H_A;3DAE_A;1J3R_B;3TGN_B;2LFW_A;1GPQ_A;3EFZ_B;2F5G_B;3HE3_C;3KZH_A;3U1D_B;2AUN_A
0,27,0.7194775342941284,0.5,27789,13432.0,64,3HSE_B;3B9K_F;1NDM_C;2QIE_A;1UFO_D;3DI2_A;3B9I_A;2C41_H;3FJK_A;3AEO_D;2Z3J_D;3VH0_D;3U5Z_E;1DLE_A;2MFQ_A;3R4Q_D;1HXM_D;1QOL_F;3IQE_C;2IOU_F;5SZI_B;3IXS_A;5C6T_HL;1S7M_A;1ZDN_B;3CQ6_C;3PUT_A;1VCH_B;2P9J_B;4LGR_B;2WFL_A;3ZKQ_A;1PK8_B;2R4I_A;3T1B_B;1NF3_A;1VR7_A;3SXM_A;2EKY_B;3Q9N_A;1VLR_B;1ACB_E;2W2B_A;3LD8_A;1DBW_B;1ML1_I;1CN3_D;4IZ7_A;3RH8_D;2QKM_F;3PR7_B;1WMS_B;1ZV5_L;2R56_A;1PCZ_B;2KA4_A;3U8Z_A;5XIM_A;4JEU_B;3EJO_A;2BWN_E;2WPV_C;2OKQ_A;3L31_B
